@relation 'gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,7,8,9,11,14,15,16,17,18,21,22,25,26,27,29,31,34,36,37,38,39,42,43'

@attribute ft1 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute class {1,2}

@data
47,94,79,79,78,16,78,78,31,79,62,109,15,94,16,2
16,78,78,98,62,94,62,94,63,93,93,140,78,93,32,2
31,94,79,94,78,16,78,78,31,79,62,109,15,94,16,2
16,187,157,157,110,94,16,111,94,63,203,63,157,141,15,1
110,78,47,172,125,125,47,109,93,62,141,62,172,125,63,1
110,187,157,94,141,140,0,47,94,63,203,63,157,141,15,1
31,79,140,140,109,0,93,47,47,78,94,47,0,94,16,2
0,78,94,0,31,140,63,78,63,78,94,78,78,62,16,2
16,79,140,0,62,31,78,94,47,78,94,47,0,94,16,2
343,47,78,78,62,16,156,94,94,156,109,62,234,62,31,2
0,93,63,125,110,62,125,63,32,47,125,63,63,47,47,2
47,47,78,79,62,16,63,140,94,156,109,62,234,62,31,2
31,94,172,172,94,46,109,78,78,62,62,125,109,94,47,2
32,93,78,94,16,141,109,63,47,46,31,110,78,78,62,2
109,94,172,78,79,15,94,110,78,62,62,125,109,94,47,2
78,62,78,78,63,78,94,62,109,94,93,63,78,63,47,2
62,63,63,63,78,125,125,62,62,63,94,63,93,78,62,2
78,62,78,47,62,78,843,79,109,94,93,63,78,63,47,2
93,94,125,125,109,63,157,93,94,94,94,78,110,109,62,1
78,94,109,109,110,140,125,94,47,78,47,110,94,109,94,1
16,94,125,125,125,110,94,187,94,94,94,78,110,109,62,1
47,78,125,125,93,16,16,78,15,78,63,109,110,78,0,2
16,16,32,484,609,47,63,31,31,78,62,79,109,16,94,2
156,78,125,0,31,78,0,78,15,78,63,109,110,78,0,2
32,62,78,78,79,78,109,63,141,79,78,78,63,62,31,2
16,93,94,109,125,141,93,94,94,78,110,78,78,78,94,2
78,62,78,47,140,63,78,141,141,79,78,78,63,62,31,2
63,78,94,94,78,109,109,78,93,78,110,46,46,110,62,1
32,94,78,94,110,15,125,78,78,47,93,78,63,78,109,1
78,78,94,110,93,0,78,125,93,78,110,46,46,110,62,1
109,63,78,78,63,62,109,63,156,109,94,63,188,47,78,2
47,62,62,63,62,94,125,63,63,78,109,78,62,63,62,2
62,63,78,63,63,47,78,156,156,109,94,63,188,47,78,2
47,94,156,156,94,31,93,125,15,94,31,125,16,125,0,1
16,125,63,110,62,109,94,78,62,93,93,94,93,78,0,1
0,94,156,125,141,15,109,110,15,94,31,125,16,125,0,1
47,156,78,78,63,16,47,62,78,62,109,47,93,78,31,2
15,15,47,141,62,47,63,70,94,63,125,46,63,93,0,2
47,156,78,0,125,94,1312,1390,78,62,109,47,93,78,31,2
15,78,141,141,78,63,47,63,47,63,140,63,78,110,62,1
15,78,63,0,78,78,47,63,78,63,93,32,109,94,31,1
31,78,141,187,140,63,0,31,47,63,140,63,78,110,62,1
47,297,203,203,125,16,109,94,157,125,78,109,94,109,31,1
16,93,78,156,109,0,94,125,110,79,63,141,78,78,15,1
110,297,203,0,47,16,94,375,157,125,78,109,94,109,31,1
78,110,203,203,125,47,93,78,156,125,63,78,110,94,47,1
15,125,62,0,46,109,94,78,79,94,110,109,94,78,31,1
375,110,203,0,141,31,109,94,156,125,63,78,110,94,47,1
79,78,109,109,94,141,125,109,63,94,0,62,93,78,32,2
125,47,31,110,78,78,15,111,94,46,172,16,125,63,93,2
31,78,109,0,78,47,109,0,63,94,0,62,93,78,32,2
47,109,78,78,15,47,78,32,94,62,125,47,47,0,78,1
156,31,16,531,47,79,47,63,31,62,0,62,109,31,62,1
156,109,78,671,78,32,0,47,94,62,125,47,47,0,78,1
15,110,125,125,63,125,32,93,125,93,141,31,16,15,93,1
31,16,94,0,0,16,47,62,47,79,93,47,78,0,63,1
62,110,125,657,250,78,78,1000,125,93,141,31,16,15,93,1
62,63,78,78,78,79,203,47,40,106,125,63,94,78,79,1
47,79,63,78,94,93,125,47,47,31,109,63,176,62,141,1
62,63,78,62,78,140,67,101,40,106,125,63,94,78,79,1
