ft1,dtsk1,dtfk4,dtsk4,dtsk5,dtfk6,ft6,dtfk7,ft7,dtsk7,dtfk8,dtfk10,ft10,dtsk10,ft11,dtsk11,ft12,dtsk12,dtfk13,ft13,dtfk14,ft14,dtsk14,class
297,62,62,62,109,78,63,78,250,78,93,62,94,62,140,78,62,344,94,484,78,204,62,1
797,94,78,94,109,219,78,78,375,47,62,78,78,78,140,94,828,78,62,375,63,219,78,1
32,93,62,250,63,78,94,125,46,0,187,78,78,63,47,63,32,93,47,78,93,78,63,1
16,94,78,78,63,63,62,78,16,47,62,63,93,63,15,78,93,547,0,78,62,16,78,1
172,0,62,250,31,16,46,109,32,78,94,78,78,63,47,63,32,93,78,63,93,78,63,1
0,94,109,171,109,47,125,63,62,63,156,31,47,375,47,78,16,78,47,78,78,31,125,1
16,94,94,47,109,375,78,94,109,47,93,63,78,78,47,125,109,0,62,16,94,15,94,1
31,62,109,171,125,15,63,62,125,109,125,31,47,375,47,78,16,78,94,62,78,31,125,1
15,110,93,78,63,63,94,141,0,78,78,141,109,63,78,94,16,78,78,78,93,32,62,1
16,78,78,63,94,63,62,94,63,78,93,234,328,110,93,78,93,32,78,32,94,31,78,1
31,78,93,78,63,15,78,109,16,62,79,141,109,63,78,94,16,78,78,16,93,32,62,1
32,125,93,187,78,93,47,63,31,78,78,16,94,78,78,47,15,78,20,88,109,16,93,2
32,94,62,62,78,78,78,47,117,20,94,47,47,63,31,63,172,15,32,32,63,46,125,2
78,32,93,187,63,16,94,63,15,78,94,16,94,78,78,47,15,78,125,15,109,16,93,2
141,78,78,62,47,46,157,63,109,47,94,547,63,1015,125,62,203,62,62,188,47,47,78,2
78,63,62,78,78,1015,78,79,125,62,63,31,828,62,110,93,62,485,47,172,63,62,63,2
109,47,78,62,109,79,62,94,219,47,63,547,63,1015,125,62,203,62,63,125,47,47,78,2
172,94,109,78,78,78,156,125,140,63,62,94,78,110,156,79,265,94,63,422,93,94,78,1
359,94,78,93,78,110,93,62,328,63,109,93,94,63,109,79,94,140,93,547,110,125,93,1
313,93,109,78,94,78,63,94,187,78,109,94,78,110,156,79,265,94,93,203,93,94,78,1
94,93,63,156,63,63,469,78,125,78,141,78,56,73,31,125,15,110,78,78,62,31,63,1
16,47,47,47,656,73,166,62,125,78,78,62,78,63,0,63,110,62,31,47,63,31,78,1
31,31,63,156,94,62,141,94,31,63,78,78,56,73,31,125,15,110,78,172,62,31,63,1
16,110,47,438,46,94,62,78,31,94,110,94,31,78,125,109,16,78,15,78,78,0,94,1
0,109,78,78,46,78,94,31,78,15,63,63,62,78,31,62,94,78,32,110,78,31,94,1
109,32,47,438,94,78,47,110,31,94,0,94,31,78,125,109,16,78,94,62,78,0,94,1
31,110,93,594,140,94,47,78,141,62,125,47,78,78,62,109,16,93,0,125,78,32,93,1
16,94,109,78,141,78,79,32,110,0,78,62,94,62,62,125,78,94,94,15,94,47,93,1
16,94,93,594,109,94,94,125,78,94,109,47,78,78,62,109,16,93,93,125,78,32,93,1
63,93,31,63,79,63,109,62,32,78,78,63,47,93,78,47,172,78,63,78,46,79,78,1
15,93,79,47,94,93,63,78,15,63,78,62,78,63,94,63,62,47,63,125,62,63,78,1
0,63,31,63,94,94,47,62,16,62,62,63,47,93,78,47,172,78,78,62,46,79,78,1
547,156,79,225,110,63,78,63,47,78,15,47,62,109,63,93,15,62,32,93,94,47,94,1
16,109,78,62,0,109,63,79,93,32,109,78,78,78,78,172,94,78,78,0,15,62,47,1
78,78,79,225,141,93,32,94,31,172,47,47,62,109,63,93,15,62,47,78,94,47,94,1
15,63,93,140,109,31,141,63,578,94,78,47,94,141,94,188,78,62,47,109,93,63,62,1
78,125,79,78,109,141,62,94,78,47,94,47,78,63,125,62,110,78,47,438,94,31,94,1
31,47,93,140,94,78,62,125,453,78,63,47,94,141,94,188,78,62,94,47,93,63,62,1
47,94,40,380,125,79,15,47,16,62,94,47,62,63,32,0,15,78,32,94,62,16,78,1
31,78,78,78,125,63,157,62,31,32,78,63,62,63,63,94,94,141,62,32,78,31,79,1
0,62,40,380,94,63,0,62,0,32,76,47,62,63,32,0,15,78,79,31,62,16,78,1
94,94,78,79,93,62,125,47,141,62,62,125,47,63,93,63,125,62,63,125,62,110,78,1
47,78,63,62,125,63,62,78,78,63,78,62,78,63,110,62,62,78,78,63,63,47,78,1
78,78,78,79,125,62,63,63,125,83,47,125,47,63,93,63,125,62,78,78,62,110,78,1
31,125,109,172,156,110,46,94,16,93,109,0,93,453,47,63,46,79,31,94,78,32,78,1
46,125,125,78,156,453,94,31,63,31,94,93,110,78,31,93,78,110,62,47,157,31,109,1
0,62,109,172,157,31,78,94,78,94,94,0,93,453,47,63,46,79,109,0,78,32,78,1
78,110,63,62,94,62,47,78,31,94,93,32,62,110,94,63,0,78,31,79,78,62,63,1
0,78,78,52,188,110,62,63,62,31,47,78,78,63,110,62,94,15,31,31,78,47,78,1
47,31,63,62,78,16,94,94,47,78,109,32,62,110,94,63,0,78,78,47,78,62,63,1
125,109,125,109,125,78,109,94,0,94,94,63,78,109,93,203,47,78,47,78,79,31,78,2
16,78,94,110,187,109,79,16,62,47,109,78,78,78,110,62,94,62,78,78,78,31,94,2
0,78,125,109,110,78,78,94,31,78,94,63,78,109,93,203,47,78,94,31,79,31,78,2
16,94,93,78,94,94,62,110,31,78,109,78,63,62,110,78,125,110,125,125,78,32,125,1
16,62,78,78,109,62,94,156,31,125,78,78,47,63,94,62,94,235,125,0,62,235,125,1
31,125,93,78,94,0,62,156,16,94,78,78,63,62,110,78,125,110,125,31,78,32,125,1
16,109,47,203,62,31,78,31,63,31,47,16,62,94,31,62,31,47,156,110,78,16,62,1
78,16,344,0,31,94,78,0,62,156,125,78,78,78,47,63,156,16,31,125,63,31,94,1
79,31,47,203,125,125,0,125,719,109,78,16,62,94,31,62,31,47,94,0,78,16,62,1
62,110,78,78,88,78,282,78,344,407,78,234,79,93,140,79,47,109,78,391,78,109,94,1
63,93,62,78,78,93,63,78,172,78,109,281,63,93,172,78,94,110,78,516,94,125,93,1
0,78,78,78,250,32,93,94,203,78,78,234,79,93,140,79,47,109,93,235,78,109,94,1
47,47,78,110,110,31,47,78,16,110,94,63,78,79,47,15,31,63,48,5,46,109,78,1
63,31,15,31,94,79,188,16,78,48,46,31,78,63,78,62,109,31,16,94,16,109,16,1
15,16,78,110,31,93,32,625,32,79,93,63,78,79,47,15,31,63,16,110,46,109,78,1
47,125,94,79,140,47,109,78,16,46,110,31,62,79,62,109,15,94,31,78,94,16,78,2
16,62,78,78,124,79,62,62,94,31,94,63,78,93,93,140,78,0,62,32,93,32,62,2
31,62,94,79,125,62,16,78,16,94,78,31,62,79,62,109,15,94,62,32,94,16,78,2
16,125,187,157,94,109,203,110,94,93,218,94,109,63,203,63,157,171,110,93,141,15,94,1
110,109,78,47,172,63,93,125,125,110,297,93,110,62,141,62,172,78,531,140,125,63,93,1
110,531,187,157,110,94,78,141,140,78,110,94,109,63,203,63,157,171,93,110,141,15,94,1
31,78,79,140,90,78,62,109,0,62,110,47,63,78,94,47,0,78,16,78,94,16,78,2
0,63,78,94,93,78,172,31,140,16,78,63,78,78,94,78,78,31,78,15,62,16,94,2
16,78,79,140,125,0,63,62,31,78,109,47,63,78,94,47,0,78,94,15,94,16,78,2
343,63,47,78,79,47,156,62,16,62,156,94,62,156,109,62,234,31,47,78,62,31,47,2
0,78,93,63,141,156,47,110,62,47,78,32,125,47,125,63,63,94,16,78,47,47,62,2
47,16,47,78,110,78,47,62,16,62,47,94,62,156,109,62,234,31,62,47,62,31,47,2
31,141,94,172,100,78,62,94,46,63,94,78,47,62,62,125,109,94,16,93,94,47,62,2
32,110,93,78,110,62,141,16,141,16,94,47,94,46,31,110,78,47,16,78,78,62,79,2
109,16,94,172,125,141,0,79,15,94,516,78,47,62,62,125,109,94,79,46,94,47,62,2
78,78,62,78,79,62,94,63,78,62,78,109,62,94,93,63,78,62,47,31,63,47,62,2
62,79,63,63,62,94,188,78,125,47,63,62,78,63,94,63,93,78,78,47,78,62,63,2
