@relation 'gender-weka.filters.unsupervised.attribute.Remove-R2,3,4,6,8,9,11,13,14,16,17,19,20,23,25,27,29,33,42,43'

@attribute dtfk1 numeric
@attribute ft2 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtsk6 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtsk8 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute class {1,2}

@data
125,16,94,78,47,172,500,110,297,109,156,93,62,16,141,47,172,78,531,140,516,125,63,1
250,16,93,187,157,110,125,78,110,47,125,94,63,94,203,47,157,171,93,110,109,141,15,1
94,125,79,79,140,90,94,62,110,47,46,47,78,94,94,78,0,78,16,78,0,94,16,2
94,62,62,78,94,93,31,16,78,78,125,63,78,78,94,94,78,31,78,15,79,62,16,2
62,94,62,79,140,125,31,78,109,94,94,47,78,94,94,78,0,78,94,15,110,94,16,2
63,219,46,47,78,79,63,62,156,94,157,94,156,63,109,110,234,31,47,78,110,62,31,2
63,47,47,93,63,141,141,47,78,63,63,32,47,62,125,140,63,94,16,78,47,47,47,2
203,203,62,47,78,110,156,62,47,140,62,94,156,63,109,110,234,31,62,47,63,62,31,2
140,31,109,94,172,100,125,63,94,78,16,78,62,141,62,110,109,94,16,93,32,94,47,2
125,16,94,93,78,110,62,16,94,63,62,47,46,109,31,110,78,47,16,78,47,78,62,2
31,31,63,94,172,125,78,94,516,110,968,78,62,141,62,110,109,94,79,46,94,94,47,2
63,94,62,62,78,79,78,62,78,62,63,109,94,78,93,63,78,62,47,31,78,63,47,2
78,109,62,63,63,62,15,47,63,62,157,62,63,78,94,79,93,78,78,47,62,78,62,2
94,109,62,62,78,63,94,63,78,79,63,109,94,78,93,63,78,62,63,31,125,63,47,2
125,94,94,94,125,125,141,93,78,93,109,94,94,125,94,109,110,93,94,47,109,109,62,1
141,125,94,94,109,171,140,94,109,94,125,47,78,156,47,187,94,453,94,31,125,109,94,1
109,31,93,94,125,141,94,78,110,187,94,94,94,125,94,109,110,93,94,78,141,109,62,1
109,47,31,78,125,47,47,78,78,78,78,15,78,47,63,16,110,62,16,47,94,78,0,2
47,78,78,16,32,47,0,16,16,31,31,31,78,31,62,78,109,62,0,94,16,16,94,2
94,78,78,78,125,62,110,94,78,78,547,15,78,47,63,16,110,62,16,93,78,78,0,2
94,703,78,62,78,62,94,93,94,63,141,141,79,79,78,78,63,93,94,15,94,62,31,2
94,110,78,93,94,78,93,94,110,94,125,94,78,78,110,141,78,94,78,47,78,78,94,2
110,125,93,62,78,94,15,78,79,141,32,141,79,79,78,78,63,93,94,156,94,62,31,2
78,78,63,78,94,98,109,63,94,78,94,93,78,78,110,94,46,63,63,94,78,110,62,1
109,109,62,94,78,78,125,63,94,78,78,78,47,94,93,125,63,109,63,16,93,78,109,1
78,110,63,78,94,78,63,63,94,125,125,93,78,78,110,94,46,63,63,31,94,110,62,1
94,141,63,63,78,63,94,47,63,63,47,156,109,78,94,78,188,78,78,78,78,47,78,2
94,125,78,62,62,78,172,78,78,63,78,63,78,63,109,156,62,125,63,78,62,63,62,2
63,125,47,63,78,47,110,78,62,156,94,156,109,78,94,78,188,78,47,47,94,47,78,2
93,93,171,94,156,140,94,109,141,125,47,15,94,250,31,125,16,114,78,109,16,125,0,1
94,140,110,125,63,187,47,78,94,78,140,62,93,125,93,110,93,110,62,140,16,78,0,1
250,63,109,94,156,140,0,94,94,110,125,15,94,250,31,125,16,114,125,0,109,125,0,1
78,62,125,156,78,180,94,78,266,62,16,78,62,31,109,46,93,0,31,94,47,78,31,2
94,47,125,15,47,187,219,31,156,70,20,94,63,15,125,1390,63,141,16,94,94,93,0,2
47,94,78,156,78,172,110,94,31,1390,1094,78,62,31,109,46,93,0,63,31,156,78,31,2
125,94,78,78,141,125,78,78,140,63,32,47,63,62,140,109,78,16,0,110,15,110,62,1
78,109,125,78,63,125,110,0,172,63,93,78,63,78,93,31,109,187,94,15,94,94,31,1
78,93,78,78,141,94,47,62,78,31,94,47,63,62,140,109,78,16,78,141,78,110,62,1
93,141,109,297,203,137,172,94,78,94,188,157,125,94,78,141,94,78,94,109,125,109,31,1
172,0,94,93,78,137,94,94,94,125,141,110,79,109,63,375,78,109,15,78,0,78,15,1
62,219,94,297,203,140,16,172,78,375,78,157,125,94,78,141,94,78,78,15,141,109,31,1
94,94,109,110,203,109,500,110,110,78,343,156,125,109,63,109,110,93,78,94,78,94,47,1
500,16,109,125,62,109,609,78,110,78,266,79,94,78,110,94,94,172,79,78,78,78,31,1
93,109,110,110,203,125,141,110,78,94,1114,156,125,109,63,109,110,93,94,484,203,94,47,1
62,78,94,78,109,125,78,31,110,109,93,63,94,141,0,15,93,32,31,78,63,78,32,2
78,109,94,47,31,125,109,31,156,111,94,94,46,63,172,0,125,500,78,78,94,63,93,2
78,46,31,78,109,94,120,109,63,0,78,63,94,141,0,15,93,32,78,94,78,78,32,2
156,63,141,109,78,31,78,31,78,32,125,94,62,47,125,62,47,63,31,78,0,0,78,1
78,125,47,31,16,31,172,31,31,63,78,31,62,94,0,47,109,31,32,78,31,31,62,1
78,47,31,109,78,31,0,93,16,47,937,94,62,47,125,62,47,63,0,79,78,0,78,1
110,63,141,110,125,125,47,203,203,93,109,125,93,47,141,31,16,63,46,109,16,15,93,1
47,547,94,16,94,125,78,46,16,62,203,47,79,0,93,1000,78,156,0,94,15,0,63,1
32,63,203,110,125,15,125,453,94,1000,781,125,93,47,141,31,16,63,93,63,219,15,93,1
94,125,63,63,78,78,78,62,63,47,125,40,106,47,125,63,94,62,63,94,62,78,79,1
78,125,63,79,63,47,91,63,78,47,76,47,31,78,109,101,176,13,63,78,62,62,141,1
63,126,62,63,78,78,115,63,74,101,63,40,106,47,125,63,94,62,62,141,235,78,79,1
